period,revenue,cogs,gross_profit,opex,operating_profit,ebitda,cash_flow,currency
2026-01,117760000,81779304.0,35980696.0,21637296.0,14343400.0,19053800.0,11660250.0,KRW
2026-02,77294000,51858338.0,25435662.0,14175293.0,11260370.0,14352130.0,10318696.0,KRW
2026-03,116371000,74025258.0,42345742.0,17813532.0,24532210.0,29187050.0,23561653.0,KRW
2026-04,88124000,57872164.0,30251836.0,17440739.0,12811097.0,16336057.0,10785768.0,KRW
2026-05,74013000,46457959.0,27555041.0,13700787.0,13854254.0,16814774.0,13098991.0,KRW
2026-06,122341000,84391306.0,37949694.0,18941849.0,19007845.0,23901485.0,19837792.0,KRW
2026-07,80985000,53145091.0,27839909.0,11248197.0,16591712.0,19831112.0,16281549.0,KRW
2026-08,104074000,61497869.0,42576131.0,20239173.0,22336957.0,26499917.0,20931832.0,KRW
2026-09,83177000,53909363.0,29267637.0,13921588.0,15346049.0,18673129.0,13526840.0,KRW
2026-10,77847000,51200928.0,26646072.0,14461002.0,12185070.0,15298950.0,8993642.0,KRW
2026-11,90071000,64294813.0,25776187.0,11310090.0,14466097.0,18068937.0,10189518.0,KRW
2026-12,56633000,39301566.0,17331434.0,10290639.0,7040795.0,9306115.0,5910434.0,KRW
