snapshot_date,plant_code,warehouse_code,material_code,on_hand_qty,allocated_qty,available_qty,safety_stock_qty,dos,inventory_value,status
2026-12-31,KR11,KR11-FG,FG-1001,1296,236,1060,736,29.0,32400000,NORMAL
2026-12-31,KR11,KR11-FG,FG-1002,979,95,884,488,12.3,52866000,NORMAL
2026-12-31,KR11,KR11-FG,FG-1003,1035,14,1021,705,11.8,21735000,NORMAL
2026-12-31,KR11,KR11-FG,FG-2001,554,151,403,760,9.0,8864000,SHORTAGE
2026-12-31,KR11,KR11-FG,FG-2002,159,13,146,519,3.3,1987500,SHORTAGE
2026-12-31,KR11,KR11-RM,RM-0001,6565,416,6149,1256,70.6,53833000,EXCESS
2026-12-31,KR11,KR11-RM,RM-0002,5198,749,4449,1765,98.6,59777000,EXCESS
2026-12-31,KR11,KR11-RM,RM-0003,4548,537,4011,1466,55.5,19101600,EXCESS
2026-12-31,KR11,KR11-RM,RM-0004,4809,1308,3501,3161,93.1,32220300,NORMAL
2026-12-31,KR11,KR11-RM,RM-0005,3983,1202,2781,2607,114.8,15135400,NORMAL
2026-12-31,KR11,KR11-RM,RM-0006,3683,1264,2419,2875,92.9,5892800,NORMAL
2026-12-31,KR11,KR11-RM,RM-0007,6318,347,5971,2218,76.9,33485400,EXCESS
2026-12-31,KR11,KR11-RM,RM-0008,3365,488,2877,1482,66.0,3028500,NORMAL
2026-12-31,KR11,KR11-RM,RM-0009,2299,710,1589,2529,62.1,2988700,SHORTAGE
2026-12-31,KR11,KR11-RM,RM-0010,3982,1221,2761,2713,108.4,995500,NORMAL
2026-12-31,VN11,VN11-FG,FG-1001,935,95,840,733,14.1,23375000,NORMAL
2026-12-31,VN11,VN11-FG,FG-1002,1250,284,966,477,31.9,67500000,EXCESS
2026-12-31,VN11,VN11-FG,FG-1003,741,95,646,443,14.3,15561000,NORMAL
2026-12-31,VN11,VN11-FG,FG-2001,1073,183,890,354,10.1,17168000,EXCESS
2026-12-31,VN11,VN11-FG,FG-2002,1142,99,1043,439,12.1,14275000,EXCESS
2026-12-31,VN11,VN11-RM,RM-0001,5400,1337,4063,3070,80.5,44280000,NORMAL
2026-12-31,VN11,VN11-RM,RM-0002,6409,1702,4707,3014,75.1,73703500,NORMAL
2026-12-31,VN11,VN11-RM,RM-0003,4436,342,4094,3001,138.5,18631200,NORMAL
2026-12-31,VN11,VN11-RM,RM-0004,1052,149,903,1903,37.9,7048400,SHORTAGE
2026-12-31,VN11,VN11-RM,RM-0005,2641,295,2346,3202,67.2,10035800,SHORTAGE
2026-12-31,VN11,VN11-RM,RM-0006,4546,1520,3026,3316,50.1,7273600,NORMAL
2026-12-31,VN11,VN11-RM,RM-0007,4857,1046,3811,3251,140.3,25742100,NORMAL
2026-12-31,VN11,VN11-RM,RM-0008,1735,556,1179,2097,18.3,1561500,SHORTAGE
2026-12-31,VN11,VN11-RM,RM-0009,3805,85,3720,3220,42.5,4946500,NORMAL
2026-12-31,VN11,VN11-RM,RM-0010,4415,447,3968,3237,40.5,1103750,NORMAL
2026-12-31,CN11,CN11-FG,FG-1001,359,38,321,553,3.6,8975000,SHORTAGE
2026-12-31,CN11,CN11-FG,FG-1002,216,33,183,760,4.0,11664000,SHORTAGE
2026-12-31,CN11,CN11-FG,FG-1003,328,110,218,749,3.0,6888000,SHORTAGE
2026-12-31,CN11,CN11-FG,FG-2001,1738,214,1524,542,18.5,27808000,EXCESS
2026-12-31,CN11,CN11-FG,FG-2002,1354,440,914,659,15.9,16925000,NORMAL
2026-12-31,CN11,CN11-RM,RM-0001,5983,679,5304,2753,77.3,49060600,NORMAL
2026-12-31,CN11,CN11-RM,RM-0002,7229,847,6382,1846,77.3,83133500,EXCESS
2026-12-31,CN11,CN11-RM,RM-0003,5470,1090,4380,2436,111.9,22974000,NORMAL
2026-12-31,CN11,CN11-RM,RM-0004,5213,662,4551,1689,48.2,34927100,EXCESS
2026-12-31,CN11,CN11-RM,RM-0005,3197,547,2650,2185,30.2,12148600,NORMAL
2026-12-31,CN11,CN11-RM,RM-0006,5014,277,4737,1390,46.9,8022400,EXCESS
2026-12-31,CN11,CN11-RM,RM-0007,7236,242,6994,2685,66.2,38350800,EXCESS
2026-12-31,CN11,CN11-RM,RM-0008,7902,543,7359,1519,171.0,7111800,EXCESS
2026-12-31,CN11,CN11-RM,RM-0009,6627,1013,5614,2319,73.9,8615100,EXCESS
2026-12-31,CN11,CN11-RM,RM-0010,6339,2004,4335,2608,170.9,1584750,NORMAL
