period,revenue,operating_profit,oee_avg,otd_rate,ppm_avg,inventory_turnover,forecast_accuracy,supply_risk_count,ai_recommendation_adoption_rate
2026-01,117760000,14343400.0,76.8,33.3,1486.0,6.8,81.4,3,44.4
2026-02,77294000,11260370.0,75.0,62.5,1011.0,4.9,82.7,12,69.8
2026-03,116371000,24532210.0,76.1,77.8,1459.0,8.2,81.4,9,57.8
2026-04,88124000,12811097.0,78.0,66.7,1814.0,6.3,82.8,5,43.8
2026-05,74013000,13854254.0,80.2,47.1,1272.0,8.9,87.2,12,48.1
2026-06,122341000,19007845.0,77.4,83.3,1214.0,9.2,85.0,7,77.6
2026-07,80985000,16591712.0,82.3,42.9,1368.0,7.3,82.2,10,52.4
2026-08,104074000,22336957.0,74.9,75.0,1438.0,4.9,87.3,7,73.7
2026-09,83177000,15346049.0,78.9,50.0,1512.0,9.3,92.0,10,70.3
2026-10,77847000,12185070.0,77.1,66.7,1527.0,6.1,78.2,2,45.1
2026-11,90071000,14466097.0,76.4,77.8,1737.0,7.9,85.7,7,65.6
2026-12,56633000,7040795.0,80.6,40.0,1492.0,6.4,85.0,5,63.5
