production_order_no,plant_code,material_code,planned_qty,completed_qty,start_date,end_date,status,line_code
MO-2026-00001,KR11,FG-1001,800,771,2026-01-03,2026-01-06,IN_PROGRESS,KR11-LINE-04
MO-2026-00002,KR11,FG-1002,1249,1118,2026-01-03,2026-01-12,PLANNED,KR11-LINE-03
MO-2026-00003,KR11,FG-1003,1263,1113,2026-01-11,2026-01-21,COMPLETED,KR11-LINE-05
MO-2026-00004,KR11,FG-2001,349,289,2026-01-15,2026-01-17,COMPLETED,KR11-LINE-01
MO-2026-00005,KR11,FG-2002,520,531,2026-01-09,2026-01-12,IN_PROGRESS,KR11-LINE-03
MO-2026-00006,VN11,FG-1001,875,863,2026-01-14,2026-01-17,COMPLETED,VN11-LINE-01
MO-2026-00007,VN11,FG-1002,1161,954,2026-01-04,2026-01-12,COMPLETED,VN11-LINE-02
MO-2026-00008,VN11,FG-1003,891,805,2026-01-13,2026-01-17,IN_PROGRESS,VN11-LINE-02
MO-2026-00009,VN11,FG-2001,686,661,2026-01-14,2026-01-23,RELEASED,VN11-LINE-02
MO-2026-00010,VN11,FG-2002,969,1009,2026-01-05,2026-01-10,IN_PROGRESS,VN11-LINE-03
MO-2026-00011,CN11,FG-1001,304,308,2026-01-10,2026-01-15,COMPLETED,CN11-LINE-05
MO-2026-00012,CN11,FG-1002,740,691,2026-01-16,2026-01-19,RELEASED,CN11-LINE-05
MO-2026-00013,CN11,FG-1003,1111,1004,2026-01-16,2026-01-19,COMPLETED,CN11-LINE-01
MO-2026-00014,CN11,FG-2001,1065,997,2026-01-14,2026-01-22,COMPLETED,CN11-LINE-04
MO-2026-00015,CN11,FG-2002,411,385,2026-01-05,2026-01-15,RELEASED,CN11-LINE-03
MO-2026-00016,KR11,FG-1001,885,867,2026-02-08,2026-02-10,COMPLETED,KR11-LINE-02
MO-2026-00017,KR11,FG-1002,609,516,2026-02-01,2026-02-05,COMPLETED,KR11-LINE-04
MO-2026-00018,KR11,FG-1003,509,505,2026-02-04,2026-02-06,COMPLETED,KR11-LINE-03
MO-2026-00019,KR11,FG-2001,407,380,2026-02-02,2026-02-11,COMPLETED,KR11-LINE-05
MO-2026-00020,KR11,FG-2002,486,424,2026-02-02,2026-02-04,COMPLETED,KR11-LINE-02
MO-2026-00021,VN11,FG-1001,322,304,2026-02-14,2026-02-19,DELAYED,VN11-LINE-03
MO-2026-00022,VN11,FG-1002,1013,858,2026-02-02,2026-02-06,COMPLETED,VN11-LINE-02
MO-2026-00023,VN11,FG-1003,828,826,2026-02-03,2026-02-13,IN_PROGRESS,VN11-LINE-04
MO-2026-00024,VN11,FG-2001,746,691,2026-02-16,2026-02-21,COMPLETED,VN11-LINE-05
MO-2026-00025,VN11,FG-2002,269,279,2026-02-13,2026-02-19,PLANNED,VN11-LINE-01
MO-2026-00026,CN11,FG-1001,541,532,2026-02-08,2026-02-18,PLANNED,CN11-LINE-04
MO-2026-00027,CN11,FG-1002,1057,884,2026-02-14,2026-02-18,COMPLETED,CN11-LINE-02
MO-2026-00028,CN11,FG-1003,918,819,2026-02-03,2026-02-08,IN_PROGRESS,CN11-LINE-02
MO-2026-00029,CN11,FG-2001,497,468,2026-02-07,2026-02-16,DELAYED,CN11-LINE-03
MO-2026-00030,CN11,FG-2002,332,288,2026-02-05,2026-02-08,COMPLETED,CN11-LINE-02
MO-2026-00031,KR11,FG-1001,606,501,2026-03-15,2026-03-25,IN_PROGRESS,KR11-LINE-05
MO-2026-00032,KR11,FG-1002,376,380,2026-03-05,2026-03-10,DELAYED,KR11-LINE-04
MO-2026-00033,KR11,FG-1003,403,332,2026-03-15,2026-03-19,PLANNED,KR11-LINE-01
MO-2026-00034,KR11,FG-2001,1137,1147,2026-03-01,2026-03-09,IN_PROGRESS,KR11-LINE-04
MO-2026-00035,KR11,FG-2002,554,458,2026-03-08,2026-03-14,COMPLETED,KR11-LINE-04
MO-2026-00036,VN11,FG-1001,1108,959,2026-03-08,2026-03-18,COMPLETED,VN11-LINE-01
MO-2026-00037,VN11,FG-1002,1278,1142,2026-03-01,2026-03-08,IN_PROGRESS,VN11-LINE-05
MO-2026-00038,VN11,FG-1003,1216,1145,2026-03-08,2026-03-12,COMPLETED,VN11-LINE-01
MO-2026-00039,VN11,FG-2001,364,362,2026-03-13,2026-03-20,DELAYED,VN11-LINE-02
MO-2026-00040,VN11,FG-2002,307,301,2026-03-05,2026-03-10,IN_PROGRESS,VN11-LINE-04
MO-2026-00041,CN11,FG-1001,698,575,2026-03-11,2026-03-16,COMPLETED,CN11-LINE-02
MO-2026-00042,CN11,FG-1002,294,251,2026-03-05,2026-03-08,COMPLETED,CN11-LINE-05
MO-2026-00043,CN11,FG-1003,456,409,2026-03-06,2026-03-14,IN_PROGRESS,CN11-LINE-04
MO-2026-00044,CN11,FG-2001,980,853,2026-03-06,2026-03-14,COMPLETED,CN11-LINE-03
MO-2026-00045,CN11,FG-2002,1051,1067,2026-03-02,2026-03-06,COMPLETED,CN11-LINE-05
MO-2026-00046,KR11,FG-1001,1266,1079,2026-04-08,2026-04-15,COMPLETED,KR11-LINE-03
MO-2026-00047,KR11,FG-1002,937,864,2026-04-08,2026-04-11,IN_PROGRESS,KR11-LINE-03
MO-2026-00048,KR11,FG-1003,1109,1156,2026-04-16,2026-04-24,COMPLETED,KR11-LINE-03
MO-2026-00049,KR11,FG-2001,711,609,2026-04-02,2026-04-08,PLANNED,KR11-LINE-01
MO-2026-00050,KR11,FG-2002,579,572,2026-04-03,2026-04-10,COMPLETED,KR11-LINE-05
MO-2026-00051,VN11,FG-1001,1139,975,2026-04-07,2026-04-12,RELEASED,VN11-LINE-04
MO-2026-00052,VN11,FG-1002,736,619,2026-04-16,2026-04-20,IN_PROGRESS,VN11-LINE-01
MO-2026-00053,VN11,FG-1003,1233,1067,2026-04-06,2026-04-12,PLANNED,VN11-LINE-01
MO-2026-00054,VN11,FG-2001,792,666,2026-04-06,2026-04-13,COMPLETED,VN11-LINE-04
MO-2026-00055,VN11,FG-2002,800,759,2026-04-04,2026-04-07,RELEASED,VN11-LINE-03
MO-2026-00056,CN11,FG-1001,1042,1050,2026-04-16,2026-04-21,IN_PROGRESS,CN11-LINE-04
MO-2026-00057,CN11,FG-1002,1308,1313,2026-04-05,2026-04-08,COMPLETED,CN11-LINE-04
MO-2026-00058,CN11,FG-1003,337,309,2026-04-14,2026-04-19,DELAYED,CN11-LINE-02
MO-2026-00059,CN11,FG-2001,1044,989,2026-04-09,2026-04-19,COMPLETED,CN11-LINE-04
MO-2026-00060,CN11,FG-2002,1098,938,2026-04-04,2026-04-07,COMPLETED,CN11-LINE-05
MO-2026-00061,KR11,FG-1001,790,717,2026-05-16,2026-05-18,COMPLETED,KR11-LINE-02
MO-2026-00062,KR11,FG-1002,1060,1086,2026-05-08,2026-05-10,IN_PROGRESS,KR11-LINE-04
MO-2026-00063,KR11,FG-1003,824,835,2026-05-04,2026-05-09,COMPLETED,KR11-LINE-02
MO-2026-00064,KR11,FG-2001,1103,1057,2026-05-15,2026-05-20,PLANNED,KR11-LINE-04
MO-2026-00065,KR11,FG-2002,575,480,2026-05-13,2026-05-17,COMPLETED,KR11-LINE-05
MO-2026-00066,VN11,FG-1001,760,628,2026-05-12,2026-05-17,PLANNED,VN11-LINE-03
MO-2026-00067,VN11,FG-1002,312,273,2026-05-15,2026-05-19,COMPLETED,VN11-LINE-04
MO-2026-00068,VN11,FG-1003,435,385,2026-05-06,2026-05-11,IN_PROGRESS,VN11-LINE-02
MO-2026-00069,VN11,FG-2001,268,248,2026-05-06,2026-05-08,RELEASED,VN11-LINE-02
