result_date,production_order_no,plant_code,material_code,good_qty,defect_qty,oee,availability,performance,quality_rate
2026-01-06,MO-2026-00001,KR11,FG-1001,739,32,84.5,88.8,94.3,95.5
2026-01-12,MO-2026-00002,KR11,FG-1002,1114,4,85.9,80.7,97.0,98.4
2026-01-21,MO-2026-00003,KR11,FG-1003,1105,8,79.0,83.1,78.3,97.3
2026-01-17,MO-2026-00004,KR11,FG-2001,279,10,75.2,70.0,96.7,93.6
2026-01-12,MO-2026-00005,KR11,FG-2002,515,16,64.5,87.9,87.5,92.4
2026-01-17,MO-2026-00006,VN11,FG-1001,863,0,68.4,72.1,85.8,96.1
2026-01-12,MO-2026-00007,VN11,FG-1002,924,30,64.1,80.3,89.9,92.8
2026-01-17,MO-2026-00008,VN11,FG-1003,801,4,77.9,70.2,87.5,95.4
2026-01-23,MO-2026-00009,VN11,FG-2001,656,5,88.9,73.8,71.7,97.7
2026-01-10,MO-2026-00010,VN11,FG-2002,1004,5,69.4,86.2,89.6,94.2
2026-01-15,MO-2026-00011,CN11,FG-1001,270,38,77.3,90.2,76.9,92.4
2026-01-19,MO-2026-00012,CN11,FG-1002,691,0,91.6,95.2,72.0,98.7
2026-01-19,MO-2026-00013,CN11,FG-1003,967,37,64.0,77.1,69.2,92.5
2026-01-22,MO-2026-00014,CN11,FG-2001,992,5,81.2,84.5,72.6,92.7
2026-01-15,MO-2026-00015,CN11,FG-2002,360,25,79.6,90.6,87.5,97.0
2026-02-10,MO-2026-00016,KR11,FG-1001,862,5,89.7,73.1,86.4,92.4
2026-02-05,MO-2026-00017,KR11,FG-1002,494,22,77.7,91.1,89.6,93.3
2026-02-06,MO-2026-00018,KR11,FG-1003,478,27,70.2,71.7,89.4,96.5
2026-02-11,MO-2026-00019,KR11,FG-2001,370,10,73.0,76.9,71.1,96.5
2026-02-04,MO-2026-00020,KR11,FG-2002,422,2,76.2,80.3,72.5,99.3
2026-02-19,MO-2026-00021,VN11,FG-1001,289,15,74.5,89.4,76.1,92.6
2026-02-06,MO-2026-00022,VN11,FG-1002,825,33,91.4,95.8,70.1,95.6
2026-02-13,MO-2026-00023,VN11,FG-1003,826,0,73.1,77.9,91.5,97.8
2026-02-21,MO-2026-00024,VN11,FG-2001,676,15,66.5,95.2,68.7,96.2
2026-02-19,MO-2026-00025,VN11,FG-2002,266,13,77.9,76.4,82.8,92.5
2026-02-18,MO-2026-00026,CN11,FG-1001,509,23,75.8,90.2,85.4,95.9
2026-02-18,MO-2026-00027,CN11,FG-1002,866,18,69.8,78.5,92.0,97.5
2026-02-08,MO-2026-00028,CN11,FG-1003,782,37,65.3,72.9,81.5,94.4
2026-02-16,MO-2026-00029,CN11,FG-2001,439,29,70.0,73.2,72.7,97.4
2026-02-08,MO-2026-00030,CN11,FG-2002,266,22,73.9,71.3,77.0,98.4
2026-03-25,MO-2026-00031,KR11,FG-1001,486,15,64.8,72.8,91.8,92.9
2026-03-10,MO-2026-00032,KR11,FG-1002,357,23,82.6,95.3,70.5,96.6
2026-03-19,MO-2026-00033,KR11,FG-1003,311,21,65.7,95.4,69.5,99.2
2026-03-09,MO-2026-00034,KR11,FG-2001,1136,11,72.6,94.5,76.2,95.5
2026-03-14,MO-2026-00035,KR11,FG-2002,432,26,88.5,82.9,70.6,95.0
2026-03-18,MO-2026-00036,VN11,FG-1001,935,24,85.5,79.7,84.3,95.8
2026-03-08,MO-2026-00037,VN11,FG-1002,1128,14,62.9,91.9,76.4,98.3
2026-03-12,MO-2026-00038,VN11,FG-1003,1130,15,81.7,77.2,92.5,99.2
2026-03-20,MO-2026-00039,VN11,FG-2001,351,11,69.1,78.6,90.1,94.8
2026-03-10,MO-2026-00040,VN11,FG-2002,267,34,71.3,83.2,70.7,93.8
2026-03-16,MO-2026-00041,CN11,FG-1001,554,21,83.5,94.8,93.3,94.5
2026-03-08,MO-2026-00042,CN11,FG-1002,228,23,90.8,80.1,96.3,95.1
2026-03-14,MO-2026-00043,CN11,FG-1003,389,20,67.2,96.2,88.8,99.2
