purchase_order_no,order_date,due_date,vendor_code,material_code,quantity,unit_price,amount,currency,status,company_code
PO-2026-00001,2026-01-01,2026-01-16,VEND-002,RM-0003,3007,4200,12629400,KRW,OPEN,KR01
PO-2026-00002,2026-01-06,2026-01-29,VEND-007,RM-0004,364,6700,2438800,KRW,OPEN,KR01
PO-2026-00003,2026-01-03,2026-02-09,VEND-005,RM-0007,3354,5300,17776200,KRW,CONFIRMED,KR01
PO-2026-00004,2026-01-17,2026-02-07,VEND-008,RM-0006,2151,1600,3441600,KRW,DELAYED,KR01
PO-2026-00005,2026-01-21,2026-01-29,VEND-001,RM-0001,2176,8200,17843200,KRW,OPEN,KR01
PO-2026-00006,2026-01-04,2026-02-11,VEND-005,RM-0008,2046,900,1841400,KRW,RECEIVED,KR01
PO-2026-00007,2026-01-11,2026-02-25,VEND-005,RM-0008,630,900,567000,KRW,OPEN,KR01
PO-2026-00008,2026-01-21,2026-03-06,VEND-002,RM-0003,2857,4200,11999400,KRW,RECEIVED,KR01
PO-2026-00009,2026-01-17,2026-02-11,VEND-008,RM-0006,2746,1600,4393600,KRW,CONFIRMED,KR01
PO-2026-00010,2026-01-04,2026-02-15,VEND-005,RM-0010,706,250,176500,KRW,RECEIVED,KR01
PO-2026-00011,2026-01-08,2026-02-10,VEND-007,RM-0004,2149,6700,14398300,KRW,CONFIRMED,KR01
PO-2026-00012,2026-01-04,2026-01-31,VEND-005,RM-0008,2003,900,1802700,KRW,CONFIRMED,KR01
PO-2026-00013,2026-01-16,2026-01-27,VEND-003,RM-0005,925,3800,3515000,KRW,OPEN,KR01
PO-2026-00014,2026-01-04,2026-02-03,VEND-004,RM-0002,2068,11500,23782000,KRW,RECEIVED,KR01
PO-2026-00015,2026-01-18,2026-03-01,VEND-006,RM-0009,2702,1300,3512600,KRW,CONFIRMED,KR01
PO-2026-00016,2026-01-14,2026-01-24,VEND-004,RM-0002,1748,11500,20102000,KRW,DELAYED,KR01
PO-2026-00017,2026-01-04,2026-02-16,VEND-005,RM-0010,1740,250,435000,KRW,RECEIVED,KR01
PO-2026-00018,2026-01-04,2026-02-02,VEND-002,RM-0003,1218,4200,5115600,KRW,RECEIVED,KR01
PO-2026-00019,2026-01-09,2026-02-21,VEND-008,RM-0006,3423,1600,5476800,KRW,CONFIRMED,KR01
PO-2026-00020,2026-01-09,2026-01-17,VEND-005,RM-0007,2794,5300,14808200,KRW,OPEN,KR01
PO-2026-00021,2026-01-01,2026-01-19,VEND-003,RM-0005,1737,3800,6600600,KRW,RECEIVED,KR01
PO-2026-00022,2026-01-05,2026-01-13,VEND-005,RM-0010,585,250,146250,KRW,OPEN,KR01
PO-2026-00023,2026-02-14,2026-03-22,VEND-006,RM-0009,1840,1300,2392000,KRW,CONFIRMED,KR01
PO-2026-00024,2026-02-11,2026-03-26,VEND-008,RM-0006,3255,1600,5208000,KRW,RECEIVED,KR01
PO-2026-00025,2026-02-20,2026-03-02,VEND-001,RM-0001,944,8200,7740800,KRW,RECEIVED,KR01
PO-2026-00026,2026-02-14,2026-03-24,VEND-003,RM-0005,3011,3800,11441800,KRW,RECEIVED,KR01
PO-2026-00027,2026-02-17,2026-03-03,VEND-005,RM-0007,1182,5300,6264600,KRW,CONFIRMED,KR01
PO-2026-00028,2026-02-19,2026-03-29,VEND-004,RM-0002,3077,11500,35385500,KRW,RECEIVED,KR01
PO-2026-00029,2026-02-13,2026-03-30,VEND-003,RM-0005,1203,3800,4571400,KRW,OPEN,KR01
PO-2026-00030,2026-02-05,2026-02-28,VEND-007,RM-0004,1165,6700,7805500,KRW,CONFIRMED,KR01
PO-2026-00031,2026-02-14,2026-03-04,VEND-004,RM-0002,2337,11500,26875500,KRW,OPEN,KR01
PO-2026-00032,2026-02-18,2026-03-19,VEND-006,RM-0009,2349,1300,3053700,KRW,OPEN,KR01
PO-2026-00033,2026-02-15,2026-02-26,VEND-001,RM-0001,376,8200,3083200,KRW,RECEIVED,KR01
PO-2026-00034,2026-02-13,2026-03-18,VEND-005,RM-0010,2648,250,662000,KRW,CONFIRMED,KR01
PO-2026-00035,2026-02-06,2026-03-14,VEND-005,RM-0007,1630,5300,8639000,KRW,RECEIVED,KR01
PO-2026-00036,2026-02-04,2026-02-26,VEND-008,RM-0006,2088,1600,3340800,KRW,CONFIRMED,KR01
PO-2026-00037,2026-02-10,2026-03-10,VEND-005,RM-0007,1921,5300,10181300,KRW,CONFIRMED,KR01
PO-2026-00038,2026-02-21,2026-03-07,VEND-002,RM-0003,2390,4200,10038000,KRW,RECEIVED,KR01
PO-2026-00039,2026-02-21,2026-03-09,VEND-007,RM-0004,1738,6700,11644600,KRW,CONFIRMED,KR01
PO-2026-00040,2026-02-06,2026-03-23,VEND-002,RM-0003,1108,4200,4653600,KRW,OPEN,KR01
PO-2026-00041,2026-02-21,2026-03-31,VEND-004,RM-0002,3465,11500,39847500,KRW,CONFIRMED,KR01
PO-2026-00042,2026-02-19,2026-03-18,VEND-005,RM-0010,3089,250,772250,KRW,RECEIVED,KR01
PO-2026-00043,2026-02-03,2026-03-12,VEND-008,RM-0006,2101,1600,3361600,KRW,CONFIRMED,KR01
PO-2026-00044,2026-02-02,2026-03-03,VEND-003,RM-0005,2722,3800,10343600,KRW,RECEIVED,KR01
PO-2026-00045,2026-03-02,2026-03-12,VEND-003,RM-0005,2151,3800,8173800,KRW,CONFIRMED,KR01
PO-2026-00046,2026-03-03,2026-04-17,VEND-003,RM-0005,2940,3800,11172000,KRW,RECEIVED,KR01
