inspection_date,plant_code,material_code,inspection_type,sample_qty,defect_qty,defect_ppm,fp_yield,result,capa_required
2026-01-06,KR11,FG-1001,OUTGOING,55,32,822,99.92,PASS,N
2026-01-12,KR11,FG-1002,OUTGOING,30,4,1840,99.82,PASS,Y
2026-01-21,KR11,FG-1003,OUTGOING,44,8,2695,99.73,PASS,Y
2026-01-17,KR11,FG-2001,OUTGOING,47,10,953,99.9,PASS,N
2026-01-12,KR11,FG-2002,OUTGOING,68,16,2611,99.74,PASS,Y
2026-01-17,VN11,FG-1001,OUTGOING,63,0,2561,99.74,CONDITIONAL_PASS,Y
2026-01-12,VN11,FG-1002,OUTGOING,67,30,1163,99.88,PASS,N
2026-01-17,VN11,FG-1003,OUTGOING,46,4,2228,99.78,CONDITIONAL_PASS,Y
2026-01-23,VN11,FG-2001,OUTGOING,31,5,820,99.92,CONDITIONAL_PASS,N
2026-01-10,VN11,FG-2002,OUTGOING,60,5,609,99.94,PASS,N
2026-01-15,CN11,FG-1001,OUTGOING,37,38,1915,99.81,PASS,Y
2026-01-19,CN11,FG-1002,OUTGOING,40,0,2600,99.74,PASS,Y
2026-01-19,CN11,FG-1003,OUTGOING,54,37,129,99.99,PASS,N
2026-01-22,CN11,FG-2001,OUTGOING,26,5,140,99.99,PASS,N
2026-01-15,CN11,FG-2002,OUTGOING,65,25,1205,99.88,PASS,N
2026-02-10,KR11,FG-1001,OUTGOING,34,5,1845,99.82,PASS,Y
2026-02-05,KR11,FG-1002,OUTGOING,51,22,419,99.96,PASS,N
2026-02-06,KR11,FG-1003,OUTGOING,39,27,939,99.91,PASS,N
2026-02-11,KR11,FG-2001,OUTGOING,49,10,2091,99.79,FAIL,Y
2026-02-04,KR11,FG-2002,OUTGOING,73,2,179,99.98,PASS,N
2026-02-19,VN11,FG-1001,OUTGOING,69,15,648,99.94,PASS,N
2026-02-06,VN11,FG-1002,OUTGOING,50,33,1657,99.83,PASS,Y
2026-02-13,VN11,FG-1003,OUTGOING,73,0,793,99.92,PASS,N
2026-02-21,VN11,FG-2001,OUTGOING,73,15,1074,99.89,CONDITIONAL_PASS,N
2026-02-19,VN11,FG-2002,OUTGOING,69,13,101,99.99,PASS,N
2026-02-18,CN11,FG-1001,OUTGOING,48,23,1069,99.89,PASS,N
2026-02-18,CN11,FG-1002,OUTGOING,22,18,1062,99.89,PASS,N
2026-02-08,CN11,FG-1003,OUTGOING,69,37,865,99.91,PASS,N
2026-02-16,CN11,FG-2001,OUTGOING,33,29,434,99.96,PASS,N
2026-02-08,CN11,FG-2002,OUTGOING,39,22,1986,99.8,PASS,Y
2026-03-25,KR11,FG-1001,OUTGOING,66,15,1373,99.86,PASS,N
2026-03-10,KR11,FG-1002,OUTGOING,55,23,222,99.98,PASS,N
2026-03-19,KR11,FG-1003,OUTGOING,50,21,2183,99.78,PASS,Y
2026-03-09,KR11,FG-2001,OUTGOING,43,11,2665,99.73,PASS,Y
2026-03-14,KR11,FG-2002,OUTGOING,33,26,263,99.97,CONDITIONAL_PASS,N
2026-03-18,VN11,FG-1001,OUTGOING,47,24,512,99.95,PASS,N
2026-03-08,VN11,FG-1002,OUTGOING,70,14,1379,99.86,PASS,N
2026-03-12,VN11,FG-1003,OUTGOING,45,15,1180,99.88,PASS,N
2026-03-20,VN11,FG-2001,OUTGOING,22,11,1045,99.9,PASS,N
2026-03-10,VN11,FG-2002,OUTGOING,50,34,2430,99.76,PASS,Y
2026-03-16,CN11,FG-1001,OUTGOING,69,21,2492,99.75,PASS,Y
2026-03-08,CN11,FG-1002,OUTGOING,51,23,416,99.96,PASS,N
2026-03-14,CN11,FG-1003,OUTGOING,41,20,424,99.96,PASS,N
2026-03-14,CN11,FG-2001,OUTGOING,42,18,2610,99.74,PASS,Y
2026-03-06,CN11,FG-2002,OUTGOING,54,20,2690,99.73,PASS,Y
2026-04-15,KR11,FG-1001,OUTGOING,34,10,489,99.95,PASS,N
2026-04-11,KR11,FG-1002,OUTGOING,70,16,1347,99.87,FAIL,Y
2026-04-24,KR11,FG-1003,OUTGOING,71,34,2690,99.73,PASS,Y
2026-04-08,KR11,FG-2001,OUTGOING,21,20,1846,99.82,PASS,Y
2026-04-10,KR11,FG-2002,OUTGOING,28,39,1597,99.84,PASS,Y
2026-04-12,VN11,FG-1001,OUTGOING,51,35,1076,99.89,CONDITIONAL_PASS,N
2026-04-20,VN11,FG-1002,OUTGOING,54,23,1842,99.82,PASS,Y
2026-04-12,VN11,FG-1003,OUTGOING,31,30,2057,99.79,PASS,Y
2026-04-13,VN11,FG-2001,OUTGOING,66,23,2276,99.77,PASS,Y
2026-04-07,VN11,FG-2002,OUTGOING,73,34,1968,99.8,PASS,Y
2026-04-21,CN11,FG-1001,OUTGOING,55,19,2502,99.75,CONDITIONAL_PASS,Y
2026-04-08,CN11,FG-1002,OUTGOING,29,11,706,99.93,PASS,N
2026-04-19,CN11,FG-1003,OUTGOING,36,38,1890,99.81,PASS,Y
2026-04-19,CN11,FG-2001,OUTGOING,20,0,2268,99.77,PASS,Y
2026-04-07,CN11,FG-2002,OUTGOING,66,6,2663,99.73,PASS,Y
2026-05-18,KR11,FG-1001,OUTGOING,59,17,809,99.92,CONDITIONAL_PASS,N
2026-05-10,KR11,FG-1002,OUTGOING,35,17,1541,99.85,PASS,Y
2026-05-09,KR11,FG-1003,OUTGOING,62,19,1363,99.86,PASS,N
2026-05-20,KR11,FG-2001,OUTGOING,32,31,2257,99.77,CONDITIONAL_PASS,Y
2026-05-17,KR11,FG-2002,OUTGOING,69,36,2196,99.78,PASS,Y
2026-05-17,VN11,FG-1001,OUTGOING,38,23,2308,99.77,PASS,Y
2026-05-19,VN11,FG-1002,OUTGOING,40,37,1371,99.86,PASS,N
2026-05-11,VN11,FG-1003,OUTGOING,62,14,502,99.95,PASS,N
2026-05-08,VN11,FG-2001,OUTGOING,80,16,323,99.97,PASS,N
2026-05-21,VN11,FG-2002,OUTGOING,22,13,581,99.94,PASS,N
2026-05-22,CN11,FG-1001,OUTGOING,32,38,877,99.91,PASS,N
2026-05-15,CN11,FG-1002,OUTGOING,61,9,454,99.95,PASS,N
2026-05-10,CN11,FG-1003,OUTGOING,53,16,1641,99.84,PASS,Y
2026-05-23,CN11,FG-2001,OUTGOING,36,19,2605,99.74,PASS,Y
2026-05-13,CN11,FG-2002,OUTGOING,58,14,251,99.97,PASS,N
2026-06-18,KR11,FG-1001,OUTGOING,78,3,340,99.97,PASS,N
2026-06-23,KR11,FG-1002,OUTGOING,79,26,904,99.91,PASS,N
2026-06-19,KR11,FG-1003,OUTGOING,60,11,377,99.96,PASS,N
2026-06-10,KR11,FG-2001,OUTGOING,67,5,298,99.97,PASS,N
2026-06-14,KR11,FG-2002,OUTGOING,70,20,1753,99.82,CONDITIONAL_PASS,Y
2026-06-14,VN11,FG-1001,OUTGOING,37,24,288,99.97,CONDITIONAL_PASS,N
2026-06-19,VN11,FG-1002,OUTGOING,24,21,2216,99.78,PASS,Y
2026-06-10,VN11,FG-1003,OUTGOING,33,37,1294,99.87,PASS,N
2026-06-04,VN11,FG-2001,OUTGOING,66,1,2177,99.78,PASS,Y
2026-06-07,VN11,FG-2002,OUTGOING,32,6,996,99.9,PASS,N
2026-06-13,CN11,FG-1001,OUTGOING,35,31,841,99.92,PASS,N
2026-06-08,CN11,FG-1002,OUTGOING,31,31,2384,99.76,PASS,Y
2026-06-20,CN11,FG-1003,OUTGOING,46,32,2337,99.77,PASS,Y
2026-06-17,CN11,FG-2001,OUTGOING,56,11,482,99.95,PASS,N
2026-06-04,CN11,FG-2002,OUTGOING,64,10,1516,99.85,PASS,Y
2026-07-12,KR11,FG-1001,OUTGOING,26,29,2774,99.72,PASS,Y
2026-07-06,KR11,FG-1002,OUTGOING,55,26,733,99.93,PASS,N
2026-07-14,KR11,FG-1003,OUTGOING,62,7,1694,99.83,PASS,Y
2026-07-15,KR11,FG-2001,OUTGOING,58,33,697,99.93,PASS,N
2026-07-17,KR11,FG-2002,OUTGOING,77,39,1864,99.81,CONDITIONAL_PASS,Y
2026-07-23,VN11,FG-1001,OUTGOING,40,21,1340,99.87,PASS,N
2026-07-24,VN11,FG-1002,OUTGOING,60,31,1572,99.84,PASS,Y
2026-07-04,VN11,FG-1003,OUTGOING,40,39,1813,99.82,CONDITIONAL_PASS,Y
2026-07-07,VN11,FG-2001,OUTGOING,54,21,2542,99.75,PASS,Y
2026-07-10,VN11,FG-2002,OUTGOING,55,22,926,99.91,PASS,N
2026-07-13,CN11,FG-1001,OUTGOING,48,16,1090,99.89,PASS,N
2026-07-14,CN11,FG-1002,OUTGOING,20,2,1882,99.81,FAIL,Y
2026-07-14,CN11,FG-1003,OUTGOING,58,33,191,99.98,FAIL,Y
2026-07-10,CN11,FG-2001,OUTGOING,76,24,116,99.99,PASS,N
2026-07-14,CN11,FG-2002,OUTGOING,34,21,1286,99.87,PASS,N
2026-08-21,KR11,FG-1001,OUTGOING,21,12,929,99.91,CONDITIONAL_PASS,N
2026-08-16,KR11,FG-1002,OUTGOING,52,40,1180,99.88,CONDITIONAL_PASS,N
2026-08-18,KR11,FG-1003,OUTGOING,56,33,2328,99.77,PASS,Y
2026-08-16,KR11,FG-2001,OUTGOING,49,3,683,99.93,PASS,N
2026-08-18,KR11,FG-2002,OUTGOING,36,15,1506,99.85,PASS,Y
2026-08-21,VN11,FG-1001,OUTGOING,35,0,1553,99.84,CONDITIONAL_PASS,Y
2026-08-22,VN11,FG-1002,OUTGOING,39,12,1004,99.9,PASS,N
2026-08-12,VN11,FG-1003,OUTGOING,56,27,426,99.96,PASS,N
2026-08-07,VN11,FG-2001,OUTGOING,66,20,940,99.91,PASS,N
2026-08-15,VN11,FG-2002,OUTGOING,31,33,1379,99.86,PASS,N
2026-08-17,CN11,FG-1001,OUTGOING,64,21,2049,99.8,CONDITIONAL_PASS,Y
2026-08-04,CN11,FG-1002,OUTGOING,26,28,2410,99.76,CONDITIONAL_PASS,Y
2026-08-12,CN11,FG-1003,OUTGOING,22,34,2488,99.75,PASS,Y
2026-08-08,CN11,FG-2001,OUTGOING,69,20,2410,99.76,PASS,Y
2026-08-12,CN11,FG-2002,OUTGOING,41,6,279,99.97,CONDITIONAL_PASS,N
2026-09-07,KR11,FG-1001,OUTGOING,47,21,1475,99.85,CONDITIONAL_PASS,N
2026-09-17,KR11,FG-1002,OUTGOING,27,28,1756,99.82,CONDITIONAL_PASS,Y
2026-09-05,KR11,FG-1003,OUTGOING,74,22,978,99.9,PASS,N
2026-09-21,KR11,FG-2001,OUTGOING,60,30,2517,99.75,CONDITIONAL_PASS,Y
2026-09-17,KR11,FG-2002,OUTGOING,39,35,2639,99.74,PASS,Y
2026-09-15,VN11,FG-1001,OUTGOING,54,13,2197,99.78,PASS,Y
2026-09-08,VN11,FG-1002,OUTGOING,52,3,2363,99.76,PASS,Y
2026-09-12,VN11,FG-1003,OUTGOING,63,37,954,99.9,PASS,N
2026-09-14,VN11,FG-2001,OUTGOING,68,28,1659,99.83,FAIL,Y
2026-09-08,VN11,FG-2002,OUTGOING,25,15,2487,99.75,PASS,Y
2026-09-25,CN11,FG-1001,OUTGOING,70,22,959,99.9,PASS,N
2026-09-15,CN11,FG-1002,OUTGOING,41,16,1665,99.83,PASS,Y
2026-09-18,CN11,FG-1003,OUTGOING,67,35,388,99.96,PASS,N
2026-09-14,CN11,FG-2001,OUTGOING,36,32,251,99.97,PASS,N
2026-09-10,CN11,FG-2002,OUTGOING,47,36,398,99.96,PASS,N
2026-10-11,KR11,FG-1001,OUTGOING,50,23,584,99.94,PASS,N
2026-10-04,KR11,FG-1002,OUTGOING,45,6,2340,99.77,PASS,Y
2026-10-21,KR11,FG-1003,OUTGOING,55,37,2721,99.73,PASS,Y
2026-10-21,KR11,FG-2001,OUTGOING,53,38,2573,99.74,FAIL,Y
2026-10-10,KR11,FG-2002,OUTGOING,37,38,1058,99.89,PASS,N
2026-10-11,VN11,FG-1001,OUTGOING,79,1,1811,99.82,PASS,Y
2026-10-06,VN11,FG-1002,OUTGOING,62,11,2409,99.76,PASS,Y
2026-10-25,VN11,FG-1003,OUTGOING,42,14,1744,99.83,PASS,Y
2026-10-13,VN11,FG-2001,OUTGOING,58,38,830,99.92,PASS,N
2026-10-18,VN11,FG-2002,OUTGOING,39,6,2734,99.73,PASS,Y
2026-10-20,CN11,FG-1001,OUTGOING,59,34,743,99.93,FAIL,Y
2026-10-19,CN11,FG-1002,OUTGOING,48,24,1861,99.81,PASS,Y
2026-10-11,CN11,FG-1003,OUTGOING,34,38,233,99.98,CONDITIONAL_PASS,N
2026-10-09,CN11,FG-2001,OUTGOING,29,20,867,99.91,PASS,N
2026-10-18,CN11,FG-2002,OUTGOING,23,13,401,99.96,PASS,N
2026-11-20,KR11,FG-1001,OUTGOING,79,7,1045,99.9,CONDITIONAL_PASS,N
2026-11-06,KR11,FG-1002,OUTGOING,72,40,654,99.93,CONDITIONAL_PASS,N
2026-11-15,KR11,FG-1003,OUTGOING,64,2,1228,99.88,PASS,N
2026-11-15,KR11,FG-2001,OUTGOING,50,0,505,99.95,PASS,N
2026-11-12,KR11,FG-2002,OUTGOING,67,23,143,99.99,PASS,N
2026-11-17,VN11,FG-1001,OUTGOING,54,4,2253,99.77,PASS,Y
2026-11-13,VN11,FG-1002,OUTGOING,55,25,2193,99.78,PASS,Y
2026-11-14,VN11,FG-1003,OUTGOING,29,34,2028,99.8,PASS,Y
2026-11-24,VN11,FG-2001,OUTGOING,57,1,2787,99.72,PASS,Y
2026-11-19,VN11,FG-2002,OUTGOING,36,33,2767,99.72,PASS,Y
2026-11-13,CN11,FG-1001,OUTGOING,32,30,747,99.93,PASS,N
2026-11-14,CN11,FG-1002,OUTGOING,49,14,2581,99.74,PASS,Y
2026-11-18,CN11,FG-1003,OUTGOING,24,2,2731,99.73,CONDITIONAL_PASS,Y
2026-11-17,CN11,FG-2001,OUTGOING,62,36,1641,99.84,PASS,Y
2026-11-15,CN11,FG-2002,OUTGOING,26,33,2753,99.72,PASS,Y
2026-12-13,KR11,FG-1001,OUTGOING,76,16,128,99.99,PASS,N
2026-12-19,KR11,FG-1002,OUTGOING,44,17,2709,99.73,PASS,Y
2026-12-22,KR11,FG-1003,OUTGOING,26,9,2132,99.79,FAIL,Y
2026-12-20,KR11,FG-2001,OUTGOING,58,16,1342,99.87,PASS,N
2026-12-13,KR11,FG-2002,OUTGOING,32,16,2227,99.78,PASS,Y
2026-12-17,VN11,FG-1001,OUTGOING,55,18,2100,99.79,FAIL,Y
2026-12-09,VN11,FG-1002,OUTGOING,79,26,138,99.99,PASS,N
2026-12-16,VN11,FG-1003,OUTGOING,51,25,2218,99.78,PASS,Y
2026-12-08,VN11,FG-2001,OUTGOING,21,15,1661,99.83,PASS,Y
2026-12-26,VN11,FG-2002,OUTGOING,42,1,1470,99.85,PASS,N
2026-12-19,CN11,FG-1001,OUTGOING,52,15,2610,99.74,PASS,Y
2026-12-20,CN11,FG-1002,OUTGOING,60,34,1179,99.88,CONDITIONAL_PASS,N
2026-12-24,CN11,FG-1003,OUTGOING,76,19,1105,99.89,CONDITIONAL_PASS,N
2026-12-12,CN11,FG-2001,OUTGOING,80,33,170,99.98,CONDITIONAL_PASS,N
2026-12-22,CN11,FG-2002,OUTGOING,41,27,1197,99.88,PASS,N
