sales_order_no,order_date,requested_delivery_date,customer_code,material_code,quantity,unit_price,amount,currency,status,company_code
SO-2026-00001,2026-01-17,2026-01-24,CUST-005,FG-1002,219,89000,19491000,USD,SHIPPED,KR01
SO-2026-00002,2026-01-12,2026-02-16,CUST-001,FG-2001,48,28000,1344000,KRW,CANCELLED,KR01
SO-2026-00003,2026-01-08,2026-02-12,CUST-002,FG-1003,34,35000,1190000,KRW,SHIPPED,KR01
SO-2026-00004,2026-01-16,2026-02-18,CUST-001,FG-1001,207,42000,8694000,KRW,OPEN,KR01
SO-2026-00005,2026-01-22,2026-02-13,CUST-002,FG-2002,52,22000,1144000,KRW,PARTIAL,KR01
SO-2026-00006,2026-01-20,2026-02-09,CUST-003,FG-1002,155,89000,13795000,KRW,CANCELLED,KR01
SO-2026-00007,2026-01-07,2026-02-05,CUST-006,FG-2002,196,22000,4312000,USD,CONFIRMED,KR01
SO-2026-00008,2026-01-17,2026-02-07,CUST-004,FG-1003,250,35000,8750000,USD,OPEN,KR01
SO-2026-00009,2026-01-01,2026-01-26,CUST-001,FG-1002,106,89000,9434000,KRW,SHIPPED,KR01
SO-2026-00010,2026-01-03,2026-02-01,CUST-002,FG-2002,21,22000,462000,KRW,SHIPPED,KR01
SO-2026-00011,2026-01-02,2026-02-05,CUST-001,FG-1002,251,89000,22339000,KRW,CONFIRMED,KR01
SO-2026-00012,2026-01-22,2026-02-13,CUST-002,FG-2002,91,22000,2002000,KRW,CONFIRMED,KR01
SO-2026-00013,2026-01-19,2026-02-13,CUST-006,FG-1002,259,89000,23051000,USD,SHIPPED,KR01
SO-2026-00014,2026-01-04,2026-01-14,CUST-004,FG-2001,68,28000,1904000,USD,SHIPPED,KR01
SO-2026-00015,2026-01-15,2026-02-18,CUST-004,FG-1003,125,35000,4375000,USD,SHIPPED,KR01
SO-2026-00016,2026-01-24,2026-02-10,CUST-001,FG-1001,123,42000,5166000,KRW,PARTIAL,KR01
SO-2026-00017,2026-01-07,2026-01-31,CUST-002,FG-1001,69,42000,2898000,KRW,CONFIRMED,KR01
SO-2026-00018,2026-01-15,2026-01-29,CUST-002,FG-2001,91,28000,2548000,KRW,PARTIAL,KR01
SO-2026-00019,2026-02-18,2026-02-28,CUST-004,FG-1001,226,42000,9492000,USD,OPEN,KR01
SO-2026-00020,2026-02-25,2026-03-31,CUST-001,FG-2002,43,22000,946000,KRW,CONFIRMED,KR01
SO-2026-00021,2026-02-07,2026-03-13,CUST-004,FG-2001,143,28000,4004000,USD,CONFIRMED,KR01
SO-2026-00022,2026-02-01,2026-02-20,CUST-002,FG-1001,117,42000,4914000,KRW,CONFIRMED,KR01
SO-2026-00023,2026-02-23,2026-03-25,CUST-003,FG-2001,128,28000,3584000,KRW,CANCELLED,KR01
SO-2026-00024,2026-02-16,2026-02-27,CUST-006,FG-2002,203,22000,4466000,USD,CONFIRMED,KR01
SO-2026-00025,2026-02-24,2026-03-20,CUST-001,FG-1002,168,89000,14952000,KRW,OPEN,KR01
SO-2026-00026,2026-02-19,2026-03-13,CUST-001,FG-1003,32,35000,1120000,KRW,SHIPPED,KR01
SO-2026-00027,2026-02-17,2026-02-26,CUST-002,FG-2002,34,22000,748000,KRW,PARTIAL,KR01
SO-2026-00028,2026-02-22,2026-03-28,CUST-005,FG-1001,37,42000,1554000,USD,CONFIRMED,KR01
SO-2026-00029,2026-02-19,2026-03-17,CUST-005,FG-1001,83,42000,3486000,USD,OPEN,KR01
SO-2026-00030,2026-02-19,2026-03-16,CUST-004,FG-1001,188,42000,7896000,USD,SHIPPED,KR01
SO-2026-00031,2026-02-23,2026-03-12,CUST-002,FG-1003,191,35000,6685000,KRW,CONFIRMED,KR01
SO-2026-00032,2026-02-21,2026-03-09,CUST-002,FG-2001,191,28000,5348000,KRW,SHIPPED,KR01
SO-2026-00033,2026-02-20,2026-03-17,CUST-001,FG-1001,137,42000,5754000,KRW,CANCELLED,KR01
SO-2026-00034,2026-02-17,2026-03-04,CUST-005,FG-1001,74,42000,3108000,USD,OPEN,KR01
SO-2026-00035,2026-02-08,2026-02-26,CUST-001,FG-1003,245,35000,8575000,KRW,CONFIRMED,KR01
SO-2026-00036,2026-02-10,2026-03-08,CUST-005,FG-2001,200,28000,5600000,USD,CANCELLED,KR01
SO-2026-00037,2026-03-18,2026-04-03,CUST-001,FG-2002,190,22000,4180000,KRW,PARTIAL,KR01
SO-2026-00038,2026-03-04,2026-04-08,CUST-002,FG-1001,87,42000,3654000,KRW,OPEN,KR01
SO-2026-00039,2026-03-10,2026-04-05,CUST-002,FG-2002,89,22000,1958000,KRW,CONFIRMED,KR01
SO-2026-00040,2026-03-21,2026-04-24,CUST-002,FG-1003,195,35000,6825000,KRW,CONFIRMED,KR01
SO-2026-00041,2026-03-02,2026-03-11,CUST-003,FG-2001,251,28000,7028000,KRW,SHIPPED,KR01
SO-2026-00042,2026-03-11,2026-04-11,CUST-001,FG-1003,20,35000,700000,KRW,OPEN,KR01
SO-2026-00043,2026-03-15,2026-04-08,CUST-002,FG-1003,209,35000,7315000,KRW,SHIPPED,KR01
SO-2026-00044,2026-03-03,2026-04-07,CUST-001,FG-2002,48,22000,1056000,KRW,SHIPPED,KR01
SO-2026-00045,2026-03-12,2026-04-06,CUST-005,FG-1002,29,89000,2581000,USD,SHIPPED,KR01
SO-2026-00046,2026-03-10,2026-03-28,CUST-002,FG-2001,30,28000,840000,KRW,PARTIAL,KR01
SO-2026-00047,2026-03-22,2026-04-05,CUST-003,FG-1001,73,42000,3066000,KRW,SHIPPED,KR01
