shipment_no,sales_order_no,shipment_date,customer_code,material_code,shipped_qty,carrier,otd_flag,status
SHP-2026-00001,SO-2026-00101,2026-07-20,CUST-005,FG-2002,167,Kuehne+Nagel,N,DELIVERED
SHP-2026-00002,SO-2026-00169,2026-10-26,CUST-005,FG-1002,82,CJ Logistics,Y,DELIVERED
SHP-2026-00003,SO-2026-00187,2026-11-23,CUST-003,FG-2001,52,DHL,Y,DELIVERED
SHP-2026-00004,SO-2026-00134,2026-09-03,CUST-004,FG-2001,148,FedEx,N,DELIVERED
SHP-2026-00005,SO-2026-00174,2026-10-30,CUST-006,FG-2001,49,DHL,N,DELIVERED
SHP-2026-00006,SO-2026-00161,2026-10-02,CUST-001,FG-2001,162,CJ Logistics,N,DELIVERED
SHP-2026-00007,SO-2026-00059,2026-04-27,CUST-001,FG-2002,102,FedEx,Y,DELIVERED
SHP-2026-00008,SO-2026-00062,2026-04-11,CUST-003,FG-2002,148,Kuehne+Nagel,Y,DELIVERED
SHP-2026-00009,SO-2026-00147,2026-10-06,CUST-001,FG-1003,38,Local Truck,Y,DELIVERED
SHP-2026-00010,SO-2026-00040,2026-04-14,CUST-002,FG-1003,190,Kuehne+Nagel,Y,DELIVERED
SHP-2026-00011,SO-2026-00110,2026-08-09,CUST-005,FG-1003,163,DHL,Y,DELIVERED
SHP-2026-00012,SO-2026-00080,2026-06-09,CUST-004,FG-2001,69,DHL,N,DELIVERED
SHP-2026-00013,SO-2026-00155,2026-09-28,CUST-006,FG-1001,227,DHL,Y,DELIVERED
SHP-2026-00014,SO-2026-00085,2026-05-31,CUST-004,FG-2002,109,Kuehne+Nagel,N,DELIVERED
SHP-2026-00015,SO-2026-00115,2026-08-03,CUST-003,FG-1003,168,Kuehne+Nagel,Y,DELIVERED
SHP-2026-00016,SO-2026-00139,2026-08-24,CUST-003,FG-1002,166,CJ Logistics,Y,DELIVERED
SHP-2026-00017,SO-2026-00168,2026-10-24,CUST-005,FG-2002,113,CJ Logistics,Y,DELIVERED
SHP-2026-00018,SO-2026-00214,2027-01-18,CUST-002,FG-2002,33,CJ Logistics,Y,DELIVERED
SHP-2026-00019,SO-2026-00149,2026-10-14,CUST-001,FG-2002,166,Kuehne+Nagel,N,DELIVERED
SHP-2026-00020,SO-2026-00195,2026-12-06,CUST-003,FG-1003,192,Local Truck,N,DELIVERED
SHP-2026-00021,SO-2026-00206,2027-01-04,CUST-002,FG-2002,78,Local Truck,N,DELIVERED
SHP-2026-00022,SO-2026-00052,2026-04-02,CUST-004,FG-1001,58,Kuehne+Nagel,Y,DELIVERED
SHP-2026-00023,SO-2026-00191,2026-11-27,CUST-003,FG-2001,127,Local Truck,Y,DELIVERED
SHP-2026-00024,SO-2026-00199,2026-12-08,CUST-005,FG-2001,74,Local Truck,Y,DELIVERED
SHP-2026-00025,SO-2026-00177,2026-11-02,CUST-005,FG-2001,24,Local Truck,N,DELIVERED
SHP-2026-00026,SO-2026-00181,2026-11-28,CUST-002,FG-2001,46,DHL,Y,DELIVERED
SHP-2026-00027,SO-2026-00135,2026-08-26,CUST-003,FG-2001,139,CJ Logistics,Y,DELIVERED
SHP-2026-00028,SO-2026-00035,2026-02-17,CUST-001,FG-1003,228,Local Truck,Y,DELIVERED
SHP-2026-00029,SO-2026-00111,2026-08-02,CUST-006,FG-2001,117,CJ Logistics,N,DELIVERED
SHP-2026-00030,SO-2026-00192,2026-11-26,CUST-006,FG-1002,40,DHL,Y,DELIVERED
SHP-2026-00031,SO-2026-00145,2026-09-28,CUST-003,FG-2001,126,Local Truck,Y,DELIVERED
SHP-2026-00032,SO-2026-00041,2026-03-28,CUST-003,FG-2001,216,Local Truck,N,DELIVERED
SHP-2026-00033,SO-2026-00082,2026-05-31,CUST-006,FG-1001,84,DHL,N,DELIVERED
SHP-2026-00034,SO-2026-00018,2026-02-03,CUST-002,FG-2001,80,FedEx,N,DELIVERED
SHP-2026-00035,SO-2026-00143,2026-08-16,CUST-002,FG-1001,131,FedEx,Y,DELIVERED
SHP-2026-00036,SO-2026-00137,2026-09-02,CUST-002,FG-1002,45,Kuehne+Nagel,N,DELIVERED
SHP-2026-00037,SO-2026-00031,2026-03-02,CUST-002,FG-1003,170,Local Truck,Y,DELIVERED
SHP-2026-00038,SO-2026-00048,2026-03-21,CUST-005,FG-1003,167,DHL,Y,DELIVERED
SHP-2026-00039,SO-2026-00175,2026-10-31,CUST-003,FG-1003,154,FedEx,Y,DELIVERED
